decade,century,trials,deaths,country,lon,lat,record.source
1580,1500,6,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,6,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,15,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,15,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,15,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,15,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,15,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1780,1700,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,17,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,17,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,17,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,17,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,17,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,26,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,28,4,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,28,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,5,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,26,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,28,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,5,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,124,60,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,28,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,5,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,28,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,5,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,34,6,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,6,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,28,12,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,5,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1700,1700,34,6,Switzerland,8.2319736,46.7985624,Bader (1945)
1700,1700,15,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1400,1400,2,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1410,1400,2,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1420,1400,2,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1420,1400,1,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1430,1400,2,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1440,1400,2,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1450,1400,21,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1460,1400,21,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1470,1400,21,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1480,1400,21,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1490,1400,21,1,Switzerland,8.2319736,46.7985624,Bader (1945)
1500,1500,5,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1500,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1510,1500,5,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1510,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1520,1500,5,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1520,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1530,1500,5,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1530,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1540,1500,5,2,Switzerland,8.2319736,46.7985624,Bader (1945)
1540,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,100,14,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,100,14,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,100,14,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,100,14,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,100,14,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,8,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1650,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,8,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1660,1600,3,3,Switzerland,8.2319736,46.7985624,Bader (1945)
1670,1600,8,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1680,1600,8,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1690,1600,8,8,Switzerland,8.2319736,46.7985624,Bader (1945)
1730,1700,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1730,1700,1,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1430,1400,7,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1440,1400,7,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1450,1400,7,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1460,1400,7,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1470,1400,7,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1480,1400,7,0,Switzerland,8.2319736,46.7985624,Bader (1945)
1550,1500,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1560,1500,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1570,1500,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1580,1500,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1590,1500,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1600,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1610,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1620,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1630,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
1640,1600,30,11,Switzerland,8.2319736,46.7985624,Bader (1945)
